/bbs/Gossiping/M.1626180960.A.95B.html,hikaru77613, 沒差啦，都打3劑再來愛台灣啦，死,BioNTech,  27.53.136.188 07/13 20:57 
/bbs/Gossiping/M.1626180960.A.95B.html,hikaru77613, 了是不能愛台灣的,BioNTech,  27.53.136.188 07/13 20:57 
/bbs/Gossiping/M.1626180960.A.95B.html,SLS530, 這公告就證實BNT沒辦法和中華民國交易,BioNTech, 114.43.137.110 07/13 21:08 
/bbs/Gossiping/M.1626180960.A.95B.html,SLS530, 只能民間對民間,BioNTech, 114.43.137.110 07/13 21:08 
/bbs/Gossiping/M.1626180960.A.95B.html,MoDerF, Region ジ,BioNTech, 49.216.133.225 07/13 21:14 
/bbs/Gossiping/M.1626180960.A.95B.html,amazgo, 817各種崩潰XDD,BioNTech,  49.159.162.61 07/13 21:56 
/bbs/Gossiping/M.1626180960.A.95B.html,gekkou, 蟑螂有骨氣一點 發起拒打BNT啊,BioNTech,  114.24.30.218 07/14 01:17 
/bbs/Gossiping/M.1626112827.A.E29.html,mardrea, 臺灣地區......,BioNTech,  36.235.14.248 07/13 02:01 
/bbs/Gossiping/M.1626112827.A.E29.html,gtcb, 徐世榮表示,BioNTech,  49.216.74.155 07/13 02:01 
/bbs/Gossiping/M.1626112827.A.E29.html,pinhanpaul, 那些說中國加料的側翼可以去死了,BioNTech,   49.159.20.41 07/13 02:01 
/bbs/Gossiping/M.1626112827.A.E29.html,s655131, 中共同路人 沒有台灣價值,BioNTech, 114.137.190.79 07/13 02:01 
/bbs/Gossiping/M.1626112827.A.E29.html,rei196, 很高興提供台灣,但是你們政府一直擋,BioNTech,220.136.216.206 07/13 02:01 
/bbs/Gossiping/M.1626112827.A.E29.html,TaiwanUp, 如果不是中國惡意代理 早就到貨,BioNTech,   119.14.24.47 07/13 02:02 
/bbs/Gossiping/M.1626112827.A.E29.html,TaiwanUp, 這批產地直送 要注意有無中國特務,BioNTech,   119.14.24.47 07/13 02:03 
/bbs/Gossiping/M.1626112827.A.E29.html,asgardgogo, 上海復興？817綠共要心臟病發了,BioNTech,125.227.199.203 07/13 02:03 
/bbs/Gossiping/M.1626112827.A.E29.html,TaiwanUp, 避免被加料,BioNTech,   119.14.24.47 07/13 02:03 
/bbs/Gossiping/M.1626112827.A.E29.html,cosmite, 如果還有人再提繞過上海就是智障,BioNTech, 59.115.213.112 07/13 02:04 
/bbs/Gossiping/M.1626112827.A.E29.html,SamsungNote9, 中國復星在2020年3月就跟BNT布局了,BioNTech,  61.65.117.141 07/13 02:04 
/bbs/Gossiping/M.1626112827.A.E29.html,SamsungNote9, 那時候的CDC在幹嗎？,BioNTech,  61.65.117.141 07/13 02:04 
/bbs/Gossiping/M.1626112827.A.E29.html,CityRanger, 真的是硬要ㄝ,BioNTech,  115.43.163.10 07/13 02:04 
